Identifier	HPSC	Donor	Age (years)	Gender	Cell type			
10817MPPA4	CB1-MPPA4	CB1	0	Female	MPP
AC41HSC3	E-HSC3	E	41	Female	HSC
AC41MPP3	E-MPP3	E	41	Female	MPP
AC63HScC2	D-HSCc2	D	63	Male	HSC
AC63MPPc1	D-MPPc1	D	63	Male	MPP
ACC55HSC15	C-HSCc15	C	55	Female	HSC
ACCMPP6	C-MPPc6	C	55	Female	MPP
ACHSC19	A-HSCc19	A	33	Male	HSC
ACHSC23	A-HSCc23	A	33	Male	HSC
ACHSCc6	A-HSCc6	A	33	Male	HSC
ACHSCc7	A-HSCc7	A	33	Male	HSC
ACHSCc8	A-HSCc8	A	33	Male	HSC
ACMPP21	A-MPPc21	A	33	Male	MPP
ACMPP29	A-MPPc29	A	33	Male	MPP
ACMPP31	A-MPPc31	A	33	Male	MPP
ACMPPc6	A-MPPc6	A	33	Male	MPP
ACMPPc8	A-MPPc8	A	33	Male	MPP
BCHHSC4	B-HSCc4	B	26	Male	HSC
BCHMPP37	B-MPPCc37	B	26	Male	MPP
CB11MPPC17	CB2-MPPC17	CB2	0	Male	MPP
CB11MPPC9	CB2-MPPC9	CB2	0	Male	MPP
CB11MPPO6	CB2-MPPO6	CB2	0	Male	MPP
