"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_201"	3.36064121968289e-29	3.23629749455462e-26	0	0	0	0	0	46.1282097420551	0	0	61.871790257945
"sample_863"	1.36268858244508e-25	1.31226910489461e-22	0	0	0	0	4.12777867724457	308.408188675447	83.4826445927955	0	90.9813880545132
"sample_218"	2.62020636146021e-23	2.52325872608618e-20	0	0	0	0	5.12385675421365	285.909862122379	67.1999378723045	0	63.7663432511029
"sample_727"	7.51080707437902e-23	7.232907212627e-20	23.4949765493446	0	0	0	0	0	0	0	56.5050234506553
"sample_484"	8.94755796343191e-23	8.61649831878493e-20	0	59.4652717001157	0	25.5698312342266	0	110.018720044941	26.2592738862181	0	61.6869031344988
"sample_823"	4.96371823944673e-22	4.7800606645872e-19	67.17299784615	0	0	0	0	173.031088914591	50.9971536150478	0	63.7987596242109
"sample_384"	6.88037168517733e-22	6.62579793282577e-19	0	0	33.8312679136796	0	0	0	58.1133804962706	0	68.0553515900498
"sample_265"	1.72766713316256e-21	1.66374344923555e-18	0	0	0	0	0	0	146.527186826088	0	71.4728131739118
"sample_900"	2.13787149572797e-21	2.05877025038603e-18	0	0	0	33.605173048914	0	319.275392235224	100.123198586958	10.4346478448332	89.5615882840705
"sample_979"	4.18824675484653e-21	4.0332816249172e-18	0	30.5726100735117	0	0	7.13410179920686	0	73.0600751015896	0	56.2332130256918
"sample_500"	4.52584158516701e-21	4.35838544651583e-18	0	0	0	0	19.8663069417807	217.580971142889	50.4592715902809	0	53.0934503250498
"sample_527"	5.11992273432615e-21	4.93048559315609e-18	99.6410504486261	0	0	37.6893520827118	0	0	0	0	72.6695974686621
"sample_688"	9.08049530389227e-21	8.74451697764826e-18	111.127037907075	0	0	0	10.3682508645671	0	75.7730468284024	11.040459895316	58.6912045046391
"sample_598"	1.04640517376749e-20	1.00768818233809e-17	52.0265383396722	0	0	0	0	183.252629794172	66.9574297248564	3.7939061628412	63.9694959784583
"sample_651"	1.30250791373345e-20	1.25431512092531e-17	182.696373364787	1.42308351322584e-21	5.82128232921251e-22	1.8166573197871e-22	238.430766165502	8.37728386112294e-22	50.2133198550378	8.58695922443617e-22	58.6595406146733
"sample_555"	1.87124090355067e-20	1.8020049901193e-17	141.732010341543	0	0	0	13.3431362004055	0	368.264690590286	0	83.6601628677657
"sample_674"	2.07704522917468e-20	2.00019455569521e-17	0	0	0	0	44.3236198368087	59.9057279049562	41.5635320207279	0	59.2071202375072
