"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS31"
"sample_290"	4.34893975588209e-10	4.20542474393798e-07	0	40.0537062873056	0	0	0	52.7248076938662	130.798686472437	0	90.4227995463909
"sample_172"	2.26663118873249e-09	2.19183235950431e-06	7.64980154078693e-22	1.21516144907032e-27	15.1489273057111	202.495625295227	4.1694743617965e-23	4.02067426413028e-25	28.3170169866814	2.57150864332596e-28	48.0384304123808
"sample_962"	4.27418890990951e-09	4.13314067588249e-06	0	0	0	0	0	63.7430750543203	49.8331931246142	0	106.423731821066
"sample_323"	5.18261004012965e-09	5.01158390880537e-06	0	22.8379582014441	0	0	2.99668916262977	22.5893966993368	116.611601806459	0	72.9643541301303
"sample_816"	1.19139718722002e-08	1.15208108004176e-05	0	0	16.0954742531713	64.1183758972038	0	0	22.9126750657541	0	48.8734747838708
"sample_487"	1.78209218380368e-08	1.72328314173816e-05	0	0	0	76.0573317805032	0	24.6785224423502	254.503822527715	19.0869107076165	64.6734125418148
"sample_460"	2.00329450701838e-08	1.93718578828678e-05	0	0	78.2888478671593	36.2678993151506	0	0	46.1985597886161	0	52.244693029074
"sample_678"	5.20008208382253e-08	5.02847937505638e-05	0	0	0	39.9567205039348	0	0	83.200611351555	402.939481334569	62.9031868099412
"sample_724"	1.04187558806573e-07	0.000100749369365956	0	0	0	0	0	48.5274950947829	94.7704866525783	0	61.7020182526387
"sample_120"	1.44913185243596e-07	0.000140131050130557	38.3254536741736	5.4182787869889e-23	32.4204828645199	1.8727407975223e-21	1.13222000829819e-24	33.9833196753542	44.9908367813565	1.2434000988133e-22	64.2799070045959
"sample_88"	1.51414297723758e-07	0.000146417625898874	0	0	0	0	0	56.5491886043582	109.557424358749	0	60.8933870368933
"sample_467"	1.84307712688902e-07	0.000178225558170169	0	22.5808990538501	0	0	0	62.2637107000714	151.836690263587	0	93.3186999824913
"sample_649"	2.51442230907524e-07	0.000243144637287576	0	31.4951760081052	0	0	0	0	45.4707561995187	19.4364029643398	44.5976648280363
"sample_796"	4.23754558622355e-07	0.000409770658187818	0	0	0	41.7801952070424	0	0	0	0	46.2198047929576
"sample_363"	4.88168499949998e-07	0.000472058939451648	0	0	42.5823946412025	0	8.19414632714944	0	89.5096603328852	0	49.7137986987629
"sample_169"	5.98964845433035e-07	0.000579199005533745	0	0	0	49.5007514040904	0	0	245.447931034886	0	54.0513175610238
"sample_887"	6.05291671403328e-07	0.000585317046247018	0	14.4178758713975	0	0	135.078542642065	0	135.95522615301	0	51.5483553335277
"sample_450"	7.97778990754855e-07	0.000771452284059945	0	0	146.235672011727	0	0	60.9682941984259	153.214587707198	0	68.5814460826494
