"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_778"	0.00330122990671129	1	0	0	0	0	0	183.346007256046	277.607890378419	0	17.0461023655343
"sample_484"	0.00723945832716388	1	138.792436225999	167.087052096742	0	0	6.97148332516669	333.499798926226	298.341728985844	0	25.3075004400221
"sample_273"	0.00889334708613023	1	210.438941086963	0	0	0	14.5548354425378	1050.62620904191	127.069903661013	0	30.3101107675803
"sample_674"	0.0112173661082038	1	101.588302153902	0	0	0	0	83.7912283881493	136.827700195057	13.3168762469259	7.47589301596523
"sample_572"	0.0168573500524081	1	95.3100224829175	94.5218131667717	1.84730773291964e-22	7.71861111695496e-21	66.8404760213012	367.080871243077	5.66081045122813e-24	8.34599112052487e-22	10.2468170859329
"sample_412"	0.0288634851063473	1	0	0	61.0031817782783	83.454445353895	10.1223244745781	240.666769120764	374.375786418657	0	20.3774928538272
"sample_371"	0.0338929690135994	1	0	30.7435536679157	0	48.4876848791366	0	32.820974163812	66.8798604649993	0	9.06792682413645
"sample_46"	0.0351843731132368	1	79.6154750598668	0	0	63.6648250388135	0	0	321.866706339436	0	10.8529935618841
"sample_997"	0.0362968549015211	1	162.442066531502	0	58.857812942519	111.822347476444	13.7189839983843	0	442.582634835422	0	17.5761542157288
"sample_144"	0.0451843446795147	1	207.442738297234	0	0	35.3424632304051	0	159.06628751941	0	0	10.1485109529514
"sample_825"	0.0561334664339781	1	0	68.5955237650049	0	67.9597973028403	21.335725665395	1898.58560435933	56.5233489074318	0	0
"sample_413"	0.0632508135867808	1	0	0	113.248605162599	150.972296829783	0	70.2614138125072	53.5176841951109	0	0
"sample_739"	0.0733616520606187	1	0	9.39542653593181	55.1295658386433	37.7045678876595	0	0	43.5699947865805	2.20044495118491	0
"sample_39"	0.0805870475791169	1	79.7791320035668	84.4538125960973	0	208.608446766043	0	274.158608634293	0	0	0
"sample_843"	0.0829920783327322	1	119.43254284488	0	0	165.092704806795	0	383.081700194954	45.393052153372	0	0
"sample_592"	0.104374566981614	1	77.5682529064429	0	0	0	0	938.560792412995	266.870954680562	0	0
"sample_752"	0.111890857487408	1	133.281430386727	24.4140909572318	0	57.8839329515911	0	0	703.148860553396	8.27168515105412	0
"sample_75"	0.112837165646731	1	69.0209762314006	0	0	53.6988609464668	0	132.228423806873	67.5797764094553	47.4719626058043	0
"sample_88"	0.11994110443803	1	137.443533465748	0	0	164.536730605671	0	107.309669952763	294.710065975819	0	0
"sample_771"	0.124918289331579	1	218.819675496031	0	0	99.451066960944	10.0980087961315	149.549019072489	0	9.87869476668999	12.2035349077154
"sample_417"	0.127648611878174	1	93.5978731693222	0	0	59.4893814056535	0	338.917375120225	115.9953703048	0	0
"sample_735"	0.132151524790156	1	0	79.5379010855928	0	0	0	1343.69249828208	177.769600632326	0	0
"sample_791"	0.132665485952624	1	191.578160283712	0	0	0	0	0	283.205889355364	0	10.2159503609244
"sample_84"	0.137160836604539	1	0	0	32.1230735936753	28.7201393450278	0	0	167.156787061297	0	0
"sample_684"	0.137742287065668	1	0	40.9377518836065	0	0	10.153680726255	745.752844333827	133.155723056311	0	0
"sample_630"	0.149394623317654	1	249.296773719438	42.5878436335531	162.056503957453	104.736865648425	0	0	110.32201304113	0	0
"sample_668"	0.151906815641063	1	0	0	43.3667950796595	78.2942969230341	83.8917171869376	133.819878693175	95.6273121171938	0	0
"sample_673"	0.157470732446533	1	150.602184090203	0	0	86.194682917036	34.6014397459329	44.5915948082478	118.010098438581	0	0
"sample_314"	0.157879214552658	1	0	0	42.4186967844753	96.8176360599158	0	811.1918518507	114.378544999263	28.1932703056451	0
"sample_981"	0.159126003545957	1	0	36.5170663989002	43.3624260618285	143.517978607935	0	176.266175455342	86.336353475994	0	0
"sample_745"	0.162540226930462	1	133.210288568848	34.2331651637175	23.8245151194985	167.134649631845	0	0	39.5973815160912	0	0
"sample_541"	0.16336966841916	1	137.098825090227	0	0	96.0694473287874	0	1374.42810930305	0	9.40361827793709	0
"sample_783"	0.169528739904664	1	0	0	68.196847734907	109.806914107969	2.0454725229082	530.704337015751	240.246428618464	0	0
"sample_547"	0.169904449440854	1	0	67.5786715256299	210.208452475859	518.034899568888	0	188.597324146112	91.5806522835105	0	0
"sample_859"	0.17445356322475	1	67.2073270409879	62.0358843431703	0	0	0	458.002823022594	131.753965593248	0	0
"sample_605"	0.175849110516351	1	104.409004328996	220.107045664455	0	0	0	1025.10666260714	90.377287399404	0	0
"sample_18"	0.177325012152825	1	0	76.8121488135207	37.2534335140258	0	0	430.860317421049	92.0741002514043	0	0
"sample_758"	0.179348184196408	1	0	0	67.8149277797198	0	0	932.40174256443	81.7833296558499	0	0
"sample_449"	0.180780854163495	1	0	0	0	100.659670472233	0	137.009660096991	118.330669430776	0	0
"sample_339"	0.184331897195763	1	0	0	36.4242978153668	19.9058500820755	12.5757245592133	92.023803077035	117.070324466309	0	0
"sample_224"	0.185796580180162	1	339.192486274183	55.6455725461743	0	0	0	761.623828238838	67.6778234471417	25.860289493663	0
"sample_892"	0.186868647931905	1	1802.45741355206	0	0	0	0	530.058530538258	436.484055909684	0	0
"sample_637"	0.18922971206735	1	0	0	53.187511123154	0	0	111.792116796801	30.020372080045	0	0
"sample_854"	0.189599660030618	1	42.5226440915393	0	0	0	0	629.89794276857	112.579413139891	0	0
"sample_287"	0.190163982471332	1	253.104024529562	0	174.050219701272	0	0	0	192.845755769165	0	0
