"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS31"
"sample_900"	0.0239986064184007	1	103.212070234753	4.44814879829376e-22	55.7903462058913	4.90490253010539e-23	67.8105787227499	38.1110841786396	1.13158565291162e-22	172.139209058681	31.9367115992854
"sample_822"	0.0280542687566681	1	0	50.5519646976064	37.2246514660063	62.5971044131743	0	965.693698874265	0	46.5198629410732	89.412717607875
"sample_235"	0.0469924050383491	1	0	0	27.9642677590404	0	366.459793570045	278.941418182021	115.113897640833	0	36.5206228480602
"sample_764"	0.0607843976544592	1	0	0	0	0	14.7332241088442	118.381897475492	213.197627751196	0	27.6872506644674
"sample_475"	0.061085554617985	1	0	44.7080860360661	0	0	0	137.788910798083	19.3703802912364	0	28.1326228746147
"sample_464"	0.0635949776022379	1	0	348.208543679994	136.623743657959	0	0	85.1679844835339	0	15.7843931280473	38.2153350504665
"sample_950"	0.0698810582629864	1	0	0	70.6969964364664	0	0	273.62958609485	387.815146461732	344.858271006952	0
"sample_279"	0.0772915098182025	1	0	61.0878412970308	0	0	0	49.5956028936365	423.661376336191	0	37.6551794731414
"sample_874"	0.0843561115594438	1	88.7305592179602	52.9397788487257	0	63.9946502545845	0	104.398292198002	188.331170659788	18.60554882094	0
"sample_565"	0.0873838369096364	1	108.583991909545	93.0431712807144	0	0	0	274.670754292927	57.8458152705579	60.8562672462564	0
"sample_399"	0.0908059124786098	1	0	21.7221342280006	18.4157029175532	0	0	171.907673161632	57.9544896928144	0	0
"sample_520"	0.0924889474148228	1	0	0	0	167.180984429253	833.84372871034	0	139.071196251981	24.0163010216465	22.887789586779
"sample_119"	0.0934423493088527	1	0	0	0	100.243897129682	14.8439268621833	60.0247316862421	155.887444321892	0	0
"sample_833"	0.100307214823767	1	0	0	0	0	13.7789796825828	1867.62072018557	347.586671113076	0	113.013629018771
"sample_579"	0.109958001108352	1	215.693015295764	176.175784997863	0	0	0	142.257745985204	118.595893917092	12.277559804078	0
"sample_495"	0.129139059846019	1	150.892278962994	0	0	62.4516884301554	0	412.879564005643	160.776468601208	0	0
"sample_596"	0.135356766697993	1	102.262571682627	0	0	89.5617507036002	0	92.0042320661801	60.1714455475924	0	0
"sample_122"	0.140063061446018	1	0	0	0	59.3299473768189	30.2174782598803	193.544198551976	56.8372031903182	24.0006550978785	37.0705175231276
"sample_693"	0.144712046336853	1	78.1624918102657	0	53.2655644048382	0	10.3433255747132	106.392239024787	0	112.836379185396	0
"sample_436"	0.150727731031049	1	35.6273744347704	17.9797732405825	0	165.499530403988	0	0	192.893321920659	0	0
"sample_172"	0.161460888703493	1	122.2449522954	0	25.9870331770066	0	0	439.641781245107	92.1262332824867	0	0
"sample_819"	0.163772562533573	1	69.374119309457	0	0	0	0	64.5598411960807	130.465549884129	50.6004896103332	0
"sample_467"	0.166470018014604	1	113.332634228765	107.376411394091	0	43.9538368342993	0	118.597175720473	60.82947523092	65.9104665914515	0
"sample_907"	0.170961475373499	1	80.1205453968591	0	0	0	0	557.214550472623	62.3106852624346	151.354218868084	0
"sample_531"	0.173225308433299	1	208.930182092924	0	0	38.9406027628651	0	0	241.129215144211	0	0
"sample_920"	0.177770589863617	1	75.5489797359438	0	0	91.611122581391	0	53.1116823974737	0	13.7282152851915	0
"sample_528"	0.185599610466832	1	139.482655773166	0	41.5885905332807	0	0	219.281661747856	43.4402059128133	12.2068860328849	0
"sample_698"	0.192311557902925	1	176.486497530569	0	57.4403306389455	76.3083458305129	89.2611853915375	170.503640608435	0	0	0
"sample_91"	0.193185802734298	1	39.7670341426681	0	0	0	0	0	145.232965857332	0	0
"sample_493"	0.199032280281441	1	0	256.593579944958	0	0	0	446.070336502228	37.426245561535	68.9098379912794	0
"sample_759"	0.200814320082122	1	0	0	33.6401313964746	0	0	135.675824196569	162.684044406957	0	0
"sample_60"	0.215217911149031	1	33.8696803832531	0	129.579066394244	0	0	25.5512532225032	0	0	0
"sample_204"	0.217442834161375	1	98.9261448998479	0	0	55.5812736859333	0	196.609340103375	290.883241310843	0	0
"sample_105"	0.232129807651878	1	0	731.952494569608	51.3394730959018	0	6.27179075864477	58.6673607587209	269.182013776959	27.5868670401659	0
"sample_432"	0.238049290333932	1	74.3231132908687	64.4619112947054	48.3301402303404	33.6888976045157	8.25187351960782	189.12399006471	61.8200739952523	0	0
"sample_334"	0.251823201023571	1	324.663895377171	129.460480626807	36.8670318460267	0	0	157.836264723909	51.1252791127287	9.04704831335767	0
"sample_325"	0.252326109735674	1	0	48.9692265591496	0	0	0	1953.45622311109	136.574550329758	0	0
"sample_15"	0.259208034531341	1	124.745693538167	36.0758335982406	114.932798929658	0	0	58.2456739339344	0	0	0
"sample_645"	0.266906987869042	1	59.6824390465769	162.63828314102	0	295.425171134687	73.5887024527145	0	101.497402412657	11.1680018123448	0
"sample_318"	0.26857011787538	1	47.9149368696833	61.0609980221813	0	28.1903444233435	0	89.8337206847919	0	0	0
"sample_521"	0.270569796821487	1	223.344649011465	0	0	0	11.8877432146342	1054.54031699466	258.124635086835	33.1026556924077	0
"sample_332"	0.270826491558814	1	0	105.806368608218	0	104.638349970249	0	1280.01746108213	256.401837104826	9.1359832345802	0
"sample_104"	0.271958685311089	1	79.8538697771983	41.017000321459	0	62.969710686752	0	242.146502446755	424.036314841263	47.9766019265726	0
"sample_251"	0.276598830488793	1	203.642154909355	40.6181744662973	35.6305430949735	0	0	97.721049540897	52.3880779884768	0	0
"sample_503"	0.277565757098335	1	98.7061487268757	0	0	0	75.3336827399774	450.061332777202	38.8988357559448	0	0
"sample_324"	0.281080472116091	1	146.588763700881	65.0666120639781	0	107.898088479107	29.7668737531367	998.427677049013	231.251984953884	0	0
"sample_554"	0.281710399020721	1	953.024595492036	91.251886986575	165.628535471363	0	2.13198266371021	541.983686417024	96.7960169388467	22.1832960304443	0
"sample_174"	0.285348448845726	1	145.042436633116	0	18.970439851034	166.164736454599	0	117.381748151036	51.4406389102146	0	0
"sample_208"	0.289145017166611	1	127.921670251755	0	25.2354628178103	80.7584122414442	0	344.113941604122	118.970513084869	0	0
"sample_968"	0.289173896936775	1	0	0	33.9804385634713	77.9583543957136	0	527.385029641801	155.404248868088	22.2719285309263	0
"sample_21"	0.29315830568054	1	0	86.0916114952772	30.7710834138675	145.763839848599	0	0	424.373465242257	0	0
"sample_47"	0.293687505099141	1	0	0	59.7539413884675	58.2159877663376	0	186.162598721154	73.2760054999953	25.5914666240453	0
"sample_107"	0.293721774873249	1	0	0	0	61.1755437711407	0	142.701659794258	55.5978290306099	26.5249674039915	0
"sample_209"	0.294307360937457	1	0	0	0	0	0	455.829605089152	91.1703949108482	0	0
"sample_187"	0.301155794581979	1	0	0	0	0	0	216.758585722108	228.241414277892	0	0
"sample_766"	0.304079434579879	1	102.528284207472	0	0	0	0	46.4717157925282	0	0	0
"sample_239"	0.304504664738692	1	0	7.56144284727666	0	0	0	235.88664195827	95.5519151944534	0	0
"sample_106"	0.307767782887148	1	162.352350140976	0	0	0	0	1121.39104814633	116.256601712698	0	0
"sample_270"	0.316552385426361	1	0	0	0	38.545516231874	41.3212260537686	385.04656139805	185.086696316307	0	0
"sample_5"	0.324793507933529	1	90.3817101379856	0	383.53352149383	102.665336462026	0	142.743885718832	127.675546187326	0	0
"sample_542"	0.325767988223568	1	135.851227770706	0	0	64.2756837852878	12.2445530755977	107.039930593131	234.606188232965	19.9824165423125	0
"sample_370"	0.327971360161257	1	0	1171.22058680623	0	0	0	733.817023793662	0	47.597034001442	110.365355398671
"sample_482"	0.329892562051061	1	0	43.0994962540033	0	0	0	1073.99331714502	318.907186600981	0	0
"sample_303"	0.333558327319028	1	0	0	24.6505054273124	40.9979040657292	0	220.324734206826	77.6327206907922	18.3941356093404	0
"sample_184"	0.336424856934635	1	93.1031152438857	83.4371444584719	17.7382640060787	0	50.3683737535551	85.7683789831081	705.5847235549	0	0
"sample_509"	0.338395388858908	1	55.7374259855084	121.315304762241	0	183.909811039999	20.2965306181186	0	765.740927594133	0	0
"sample_590"	0.343395647817076	1	142.849792629977	0	0	0	20.5181071345823	143.260388251728	139.371711983713	0	0
"sample_719"	0.34730376737104	1	45.924854713982	0	0	118.632483477194	7.52375555082417	0	184.918906258	0	0
"sample_640"	0.347468896056944	1	0	0	62.948184291446	114.168439580858	0	0	65.0665182850364	22.8168578426594	0
"sample_631"	0.355703088927551	1	0	0	49.423358772693	0	0	462.311533522569	161.265107704738	0	0
"sample_114"	0.368587614472514	1	0	67.3387005108504	29.3273184887498	141.866729216873	0	125.378459041061	118.088792742466	0	0
"sample_439"	0.369808956072738	1	0	45.1672787799346	51.176554431558	62.8626326402752	139.334209699887	0	126.459324448345	0	0
"sample_915"	0.383806609787919	1	0	0	0	0	899.252924598687	464.747075401313	0	0	0
"sample_988"	0.389438633414273	1	82.6397172835725	0	0	0	0	49.6629441902691	199.697338526158	0	0
"sample_154"	0.391151852277443	1	109.106560897204	248.928309285778	10.8184962970683	0	0	0	44.8675457489193	11.2790877710298	0
"sample_423"	0.394463063762233	1	0	0	0	105.7871966228	0	1171.2128033772	0	0	0
"sample_160"	0.399346698600409	1	394.876626714322	0	0	86.6879555721333	14.8170924701064	805.102205291262	131.516119952176	0	0
"sample_111"	0.400378642520277	1	0	0	0	262.905455575216	0	211.220615327031	55.8739290977536	0	0
"sample_9"	0.402311881149081	1	0	104.574942417962	0	0	0	268.356263611113	324.782812759703	8.28598121122199	0
"sample_409"	0.40412026752607	1	274.907487731889	0	22.8362861961925	213.773911905159	0	462.010087670712	84.4722264960476	0	0
"sample_371"	0.406553758656991	1	0	31.3096542235778	0	59.9712007792112	0	31.4472180637516	65.2719269334594	0	0
"sample_335"	0.408935239925193	1	562.257583190707	211.57248473611	106.796772939241	68.4725077771373	0	296.578178757841	118.511208955866	23.8112636430981	0
"sample_32"	0.41400129428243	1	378.408640573194	0	0	0	0	343.26951901	167.321840416806	0	0
"sample_890"	0.417458508605727	1	0	40.3726138998962	0	0	0	111.127799890714	92.3012742735571	21.198311935833	0
"sample_696"	0.4177495286049	1	97.4638266283684	0	48.0831462240729	0	23.4953851698293	305.957641977729	0	0	0
