"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"oxaliplatin"
"sample_568"	0.0178956558274403	1	0	162.270037382337	89.0315910298484	0	0	237.945493863283	53.1175816216374	0	57.6352961028943
"sample_895"	0.0231574544251177	1	44.1523343056361	120.344147238162	0	66.7360229501089	0	60.0838126691778	0	0	32.6836828369156
"sample_364"	0.0282725198659365	1	182.200875358423	22.3809246851895	0	0	7.13219621197406	0	83.7549199364162	0	42.5310838079967
"sample_833"	0.0470997625323463	1	0	0	0	0	13.514079780642	1921.51064387026	337.234896055395	0	69.7403802937077
"sample_503"	0.0571486633998747	1	0	0	0	0	74.2931659553714	522.273699893143	26.6992598075285	0	39.7338743439569
"sample_200"	0.0626617742960833	1	135.772603502314	0	0	295.737266431048	0	0	102.626632584967	0	100.86349748167
"sample_872"	0.0660059023506102	1	969.497143607603	0	0	58.8123665505592	0	0	349.156978216568	0	83.5335116252697
"sample_157"	0.0662624340071707	1	226.557820303487	164.601421726959	54.1121364371761	0	0	285.217307589248	97.913162593311	0	55.5981513498196
"sample_893"	0.0666229272406456	1	600.061266118887	76.0099121484484	0	63.0322393980211	0	177.261859202853	153.111148536346	19.523574595444	0
"sample_610"	0.0862661693309875	1	0	0	0	144.635254691764	48.5246187609804	495.798488932679	692.103196772131	16.938440842446	0
"sample_382"	0.0925719041815257	1	0	16.9218013876319	0	29.9847420135516	0	0	80.0934565988165	0	0
"sample_60"	0.093862590867422	1	33.8696803832531	0	129.579066394244	0	0	25.5512532225032	0	0	0
"sample_54"	0.102231972545503	1	288.970549612621	0	0	0	26.4452828472268	110.463271239314	522.455342797563	131.665553503275	0
"sample_877"	0.10382473690674	1	90.649633204518	0	41.6765630930147	0	0	0	112.054768606972	0	12.6190350954953
"sample_91"	0.108279280244208	1	39.7670341426681	0	0	0	0	0	145.232965857332	0	0
"sample_670"	0.114722006188474	1	187.44598880456	0	0	0	0	555.843977290843	0	17.6288785373615	30.0811553672356
"sample_372"	0.12371374041918	1	0	0	0	0	0	577.936376801821	106.930499906255	0	34.1331232919247
"sample_184"	0.127280480263453	1	76.5786515892178	70.6761389885187	17.9431429162013	0	48.455932646229	76.2161691507811	690.178737412642	0	55.9512272964102
"sample_884"	0.129359880886154	1	67.3829031740727	0	0	117.277656462482	119.300859136261	0	222.442895307969	56.5956859192161	0
"sample_448"	0.138967974113574	1	0	130.076278252042	0	0	22.3630313301466	890.85596803699	199.981944566455	216.722777814367	0
"sample_831"	0.140404521199713	1	0	96.9749861453565	0	47.2548679542638	0	473.831251797064	41.5875668228762	0	28.3513272804394
"sample_255"	0.1456116216102	1	0	75.7337602597917	0	0	0	123.782472375551	92.483767364657	0	0
"sample_42"	0.150747591640022	1	71.331465808392	0	0	0	0	577.264278204457	166.404255987151	0	0
"sample_565"	0.155554265480556	1	108.583991909545	93.0431712807144	0	0	0	274.670754292927	57.8458152705579	60.8562672462564	0
"sample_17"	0.160303553789575	1	0	0	0	152.334067544057	0	1884.66593245594	0	0	0
"sample_681"	0.16772012986586	1	0	0	0	85.5401896308467	149.082308484911	43.6903370891921	45.6871647950504	0	0
"sample_819"	0.172849884663295	1	69.374119309457	0	0	0	0	64.5598411960807	130.465549884129	50.6004896103332	0
"sample_793"	0.174424001904708	1	0	0	155.788729461015	0	0	58.2127714079445	107.168766595258	0	25.8297325357822
"sample_485"	0.175519087881034	1	0	79.6461738671634	0	71.6604658352229	0	112.693360297614	0	0	0
"sample_907"	0.180036631387671	1	80.1205453968591	0	0	0	0	557.214550472623	62.3106852624346	151.354218868084	0
"sample_908"	0.183969508958684	1	55.9758936159855	67.686530707477	0	0	0	0	161.337575676538	0	0
"sample_96"	0.184906601790261	1	197.780851619085	49.5045296926472	37.7761656404323	81.4675683416656	10.8038020811238	238.644838641435	449.99259704587	38.0296469377416	0
"sample_950"	0.190113084471815	1	0	0	70.6969964364664	0	0	273.62958609485	387.815146461732	344.858271006952	0
"sample_467"	0.194414295735478	1	113.332634228765	107.376411394091	0	43.9538368342993	0	118.597175720473	60.82947523092	65.9104665914515	0
"sample_329"	0.196220150073293	1	730.772935598205	66.1372447328002	0	0	0	118.355542054656	137.734277614339	0	0
"sample_104"	0.201742647694326	1	79.8538697771983	41.017000321459	0	62.969710686752	0	242.146502446755	424.036314841263	47.9766019265726	0
"sample_723"	0.202165525736151	1	0	23.5350458972009	0	59.57257137362	0	932.210622424408	247.695585947419	8.98617435735271	0
"sample_285"	0.207815060503581	1	149.457080714454	31.4324937006102	0	0	0	0	82.1104255849359	0	0
"sample_636"	0.211950343359366	1	366.275779435355	0	0	140.611903838347	0	315.36756267299	64.95991300836	8.78484104494799	0
"sample_874"	0.220372355117547	1	88.7305592179602	52.9397788487257	0	63.9946502545845	0	104.398292198002	188.331170659788	18.60554882094	0
"sample_332"	0.22086372960217	1	0	105.806368608218	0	104.638349970249	0	1280.01746108213	256.401837104826	9.1359832345802	0
"sample_834"	0.223674804484372	1	0	0	0	0	0	318.042342377999	64.9576576220011	0	0
"sample_199"	0.228977386555854	1	0	0	0	192.373395099385	0	417.899559124039	251.727045776576	0	0
"sample_860"	0.232178032640602	1	129.537780784656	0	362.577839748104	890.664078064259	0	0	0	0	44.2203014029812
"sample_873"	0.234670670914552	1	349.4425962454	0	54.3755551854924	282.82963636713	30.6376773108656	571.836501249884	110.871481304694	167.006552336534	0
"sample_62"	0.238133075617739	1	440.323693501388	0	0	0	0	624.879107897077	102.187686783074	34.6095118184614	0
"sample_549"	0.242039077015023	1	162.465165670208	70.3200585785845	0	100.176906603024	0	178.496065777654	112.54180337053	0	0
"sample_840"	0.251442821030819	1	109.649696522609	0	0	0	0	111.350303477391	0	0	0
"sample_664"	0.253831589750255	1	124.682779865061	0	0	0	217.726521972108	784.536250325178	175.054447837653	0	0
"sample_456"	0.258431647720973	1	588.436720624498	0	118.766673460841	0	19.7912619096995	214.374703866644	147.630640138317	0	0
"sample_325"	0.26257467991164	1	0	48.9692265591496	0	0	0	1953.45622311109	136.574550329758	0	0
"sample_522"	0.263881792177917	1	171.650077674206	63.0178358577783	87.5958390356729	0	0	202.697906144201	279.038341288142	0	0
"sample_246"	0.266863006971606	1	263.663022845645	0	0	0	0	788.93983177953	493.369925113738	11.0272202610865	0
"sample_822"	0.268632028107421	1	0	61.7575664790322	40.6977212656907	87.9740660861592	0	1011.28862618931	0	50.282019979809	0
"sample_316"	0.27226162437078	1	138.197044559904	273.251201762707	54.4999106987604	0	0	70.4121011840934	109.048582725058	5.59115906947771	0
"sample_353"	0.27366990440624	1	0	0	0	0	0	560.741385535315	417.258614464685	0	0
"sample_863"	0.278538770721792	1	0	182.146050679287	0	0	0	1630.19806694309	91.6558823776233	0	0
