"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"oxaliplatin"
"sample_125"	2.20816459749341e-14	2.13087883658114e-11	0	40.6986426461424	41.2914392915333	0	0	0	0	0	72.0099180623243
"sample_403"	6.65038424241638e-11	6.4176207939318e-08	0	0	0	0	13.7225531705055	43.9303485310987	162.921466142351	0	64.425632156045
"sample_562"	2.76761503324965e-10	2.67074850708591e-07	0	0	0	0	4.28631318897276	0	83.6091648923323	0	63.1045219186949
"sample_688"	5.76234254350249e-10	5.5606605544799e-07	81.2471762083464	0	0	0	0	0	106.312791254109	0	71.4400325375447
"sample_825"	7.76194479448785e-10	7.49027672668078e-07	0	0	0	51.6469925588014	9.04898773476991	24.8847831863236	0	0	76.4192365201051
"sample_352"	2.13558871274852e-09	2.06084310780232e-06	0	0	121.055652462578	0	0	0	246.581989804075	0	82.3623577333463
"sample_77"	4.58869341230793e-09	4.42808914287715e-06	0	15.6665117262889	0	0	0	0	43.311646893607	0	51.0218413801041
"sample_832"	6.62906159400008e-09	6.39704443821007e-06	73.9148730270122	0	0	0	0	0	0	0	49.0851269729878
"sample_212"	8.35430294136772e-09	8.06190233841985e-06	0	0	0	0	13.76150615485	138.608219029434	0	125.938905392915	51.6913694228002
"sample_947"	1.48105479393366e-08	1.42921787614598e-05	60.7971106721636	100.266287277601	0	0	0	0	87.6619658629852	0	73.2746361872504
"sample_820"	1.85776576227407e-08	1.79274396059447e-05	4.47511899387735e-29	39.6728159485654	7.61197602811141e-27	0	2.08304379172186e-23	1.55175053419933e-27	44.1704846279453	2.03866173305421e-28	50.1566994234894
"sample_821"	3.72679592037599e-08	3.59635806316283e-05	4.57392308317754e-30	1.94142418496774e-29	76.0053137571864	7.37827801633072e-23	3.24341838231212e-29	26.0961197724634	147.331447968315	6.42069352989932e-20	48.5671185020355
"sample_746"	4.60385927382691e-08	4.44272419924296e-05	0	0	0	0	0	0	319.706475181851	0	93.2935248181489
"sample_320"	4.70158771779133e-08	4.53703214766863e-05	0	0	0	0	4.89197261631007	66.4858660943064	159.327421573287	0	58.2947397160964
"sample_914"	5.06922232111764e-08	4.89179953987852e-05	55.8580717284622	0	0	0	0	77.0476587573441	241.736373152527	12.2945946928807	80.0633016687865
"sample_928"	7.88764435387081e-08	7.61157680148534e-05	0	0	0	0	0	309.188605928412	420.552381683115	0	103.259012388473
"sample_617"	8.32576368581351e-08	8.03436195681004e-05	0	93.8311704146748	0	0	57.4576298086317	0	90.2125950125823	0	63.4986047641112
"sample_792"	1.03194247523341e-07	9.95824488600237e-05	81.2213640624216	0	0	0	0	0	60.6574995931871	40.1228645876487	44.9982717567427
