AP0388_AP0389	AP0390_AP0395	AP0394_AP0391	PATIENT_WTS_1_TUM1_PATIENT_WTS_1_BUC	PATIENT_WTS_3_TUM1_PATIENT_WTS_3_BUC	SRR1482114_SRR1482098	SRR1801385_SRR1800351	SRR1801780_SRR1800379	SRR1801916_SRR1800363	SRR1801924_SRR1802263	SRR1801946_SRR1801393	SRR1801954_SRR1800335	SRR1802086_SRR1800793	SRR1802102_SRR1800371	SRR1802114_SRR1800784	SRR1802228_SRR1800776	SRR1802338_SRR1801402	SRR1802602_SRR1802367	SRR1802629_SRR1802255	SRR1802637_SRR1802586	SRR1802673_SRR1802764	SRR1802695_SRR1802564	SRR1802703_SRR1802556	SRR1802711_SRR1802494	SRR1802754_SRR1802621	SRR1802790_SRR1802664	SRR1802798_SRR1802439	SRR1803002_SRR1802357	SRR388383_SRR388326	SRR388810_SRR388850	SRR390572_SRR390546	SRR390616_SRR390604	SRR390636_SRR390671	SRR390682_SRR390649	SRR390755_SRR407618	SRR404098_SRR390690	SRR407619_SRR404097	SRR522917_SRR523444	SRR522960_SRR524453	SRR523063_SRR523754	SRR523096_SRR523625	SRR523202_SRR523754	SRR523356_SRR522999	SRR523590_SRR523488	SRR523710_SRR524517	SRR523789_SRR524736	SRR523821_SRR523981	SRR524115_SRR523913	SRR524251_SRR523317	SRR524399_SRR524517	SRR524425_SRR523512	SRR524549_SRR523039	SRR524581_SRR523939	SRR524635_SRR524020	SRR524677_SRR522999	SRR527366_SRR524089	SRR529101_SRR529152	SRR767415_SRR767463	SRR767423_SRR767580	SRR767471_SRR767455	SRR767507_SRR767431	SRR767516_SRR767439	SRR767544_SRR767572	SRR767556_SRR767524	SRR767564_SRR767447
37	49	45	65	68	29	36	50	51	55	55	73	46	54	33	37	42	45	35	66	52	54	38	80	56	30	31	90	62	235	94	36	66	43	55	71	52	192	166	172	133	25	33	130	91	149	116	53	293	39	65	113	79	253	37	126	61	42	50	41	47	51	43	57	53
24	43	26	44	64	16	14	19	9	19	20	21	10	16	12	39	15	18	13	25	23	14	25	69	19	12	9	21	13	55	25	28	28	17	35	38	10	16	14	18	24	6	6	18	15	37	15	21	10	7	19	18	12	15	11	14	83	16	19	17	18	29	14	15	18
4	8	6	8	3	3	5	4	2	4	3	4	3	6	2	7	7	7	9	5	6	2	4	7	6	1	3	12	4	4	9	2	3	5	2	7	3	3	3	1	5	1	3	4	3	8	5	8	6	1	5	4	2	11	8	3	12	13	4	3	4	1	7	7	4
14	21	26	20	20	19	12	13	11	24	23	19	11	13	8	19	19	23	19	21	19	15	23	43	17	9	24	34	21	21	19	14	16	3	19	32	23	36	25	13	15	3	8	25	21	50	8	22	16	17	20	20	8	18	15	13	106	15	18	18	18	19	13	14	23
26	53	42	42	49	29	17	29	13	29	39	41	14	27	14	32	30	27	30	32	30	37	29	71	33	14	21	42	28	38	35	24	35	20	45	29	33	50	33	15	29	9	6	17	37	50	20	31	35	16	39	39	25	45	16	22	31	40	34	19	15	97	17	36	27
31	34	18	30	30	11	13	15	7	7	12	16	10	14	2	19	12	9	13	12	19	6	19	51	14	5	5	27	17	25	19	9	15	15	13	20	23	19	11	6	16	1	15	13	24	18	16	16	15	11	16	18	15	9	11	18	16	12	17	19	13	69	8	14	21
5	7	8	10	6	3	1	2	0	1	4	2	2	3	4	5	4	4	6	4	3	4	5	12	8	1	3	6	5	3	7	5	8	2	3	5	3	3	2	1	4	2	4	3	6	7	5	6	2	2	6	3	1	10	3	7	3	14	2	5	2	13	3	8	3
46	71	17	42	75	13	11	15	10	13	18	23	13	7	11	33	8	22	23	24	11	15	22	85	25	12	23	35	18	52	19	17	28	17	14	28	32	23	16	14	16	8	8	18	12	19	15	17	7	8	17	21	5	25	16	10	19	15	12	13	20	76	12	19	10
24	84	33	62	63	23	14	28	8	24	32	39	14	15	8	41	21	17	21	35	21	24	22	74	34	17	11	54	28	95	29	24	27	15	35	30	33	26	28	12	28	6	15	32	27	37	17	20	29	10	27	23	21	26	16	25	49	10	17	22	18	30	23	23	22
31	84	12	70	84	7	11	10	2	8	9	10	9	5	3	46	7	9	12	13	9	6	3	34	48	7	6	16	12	110	16	9	14	7	11	23	12	5	9	8	14	5	5	13	15	7	8	17	5	1	11	11	11	8	13	10	20	10	13	8	4	10	3	12	10
