"pval"	"apval"	"X2_0.97_NA"	"X3_0.96_SBS1.0.94"	"X4_0.81_NA"	"X5_1.0_SBS43.0.91"	"X6_1.0_SBS58.0.87"	"X7_0.94_NA"	"X1_0.97_SBS31.0.95"	"SBS17b"
"SRR1801780_SRR1800379"	0.0193957915322067	1	914.428642312878	0	285.042579785069	44.5366409019014	206.490968091247	653.77532492083	133.268217061035	18.4576269270399
"ACHSCc8"	0.0772564977505303	1	346.031247188165	47.9294269494085	0	10.8430875945587	0	73.4514889534931	64.7447493143747	0
"SRR1802703_SRR1802556"	0.130586452778318	1	688.507105542916	353.933128690201	69.1920200770679	28.8841685009175	240.365111757482	572.118465431416	0	0
"X10817MPPA4"	0.131445492201377	1	0	16.9692203855199	0	0	0	20.0307796144801	0	0
"SRR523356_SRR522999"	0.133407163416904	1	197.035286906328	279.664514761819	129.511752372779	45.011802094363	163.326986981625	368.449656883086	0	0
"SRR1802602_SRR1802367"	0.287879882293215	1	1162.18899097406	253.54858147513	0	46.3340538919664	196.092442491967	426.253619341171	92.5823118257016	0
"SRR390682_SRR390649"	0.313321698394469	1	469.128448028602	244.204929461199	0	18.6880499043782	145.25645256459	570.558780121894	91.1633399193372	0
"SRR1802228_SRR1800776"	0.31649270153675	1	581.422184068045	0	0	0	169.960264911816	437.8450612389	1003.77248978124	0
"ACHSCc6"	0.329316588922815	1	399.057699121611	63.3476948779362	0	10.9209547369689	25.6736512634843	0	0	0
"SRR1802798_SRR1802439"	0.371383730208849	1	707.519749994726	175.996792815146	0	50.1483720822341	230.462234821124	781.872850286771	0	0
"AC41MPP3"	0.385607256015233	1	435.583334724667	0	0	10.1137484351779	18.266946037077	68.165483842558	47.8704869605198	0
"ACC55MPP6"	0.419956421283281	1	682.840877205712	0	58.2308785341845	0	50.2972870323648	117.147600271324	109.483356956415	0
"SRR524115_SRR523913"	0.443919889015627	1	480.323500338184	466.938843570324	113.410417718307	26.6651912605962	225.89540392901	532.214409843637	127.552233339942	0
"SRR523821_SRR523981"	0.45508219168441	1	278.913326725122	189.203452191184	0	48.8708091081748	782.771837203719	419.240574771801	0	0
"SRR404098_SRR390690"	0.510741327032697	1	865.685836666142	682.333256209105	0	35.8172829731211	200.733754444019	529.624525754234	259.805343953378	0
"AC41HSC3"	0.515741554991615	1	456.419751342373	0	0	18.84671828213	31.37879146109	63.2113474815308	41.1433914328767	0
"SRR1802695_SRR1802564"	0.520973155811886	1	1044.33663379136	474.74217532835	124.074714895012	0	241.295227726394	286.59110740993	100.960140848954	0
