"pval"	"apval"	"X2_0.97_NA"	"X3_0.96_SBS1.0.94"	"X4_0.81_NA"	"X5_1.0_SBS43.0.91"	"X6_1.0_SBS58.0.87"	"X7_0.94_NA"	"X1_0.97_SBS31.0.95"
"PATIENT_WTS_3_TUM1_PATIENT_WTS_3_BUC"	5.09841276284463e-78	4.43561910367483e-76	0	351.767937085598	184.552557443098	100.489778883977	151.777953510495	284.337951079314	1938.07382199752
"SRR388810_SRR388850"	5.11284208019315e-66	4.44817260976804e-64	364.268246234243	0	0	0	1740.73983294335	0	1649.9919208224
"AP0390_AP0395"	1.84301521452293e-59	1.60342323663495e-57	502.838943810422	384.660281779169	217.900818522726	64.4967318009227	0	0	1664.10322408676
"AP0388_AP0389"	1.21459978088231e-46	1.05670180936761e-44	309.144483451442	400.579911962727	82.3183586485477	38.2319627568582	0	180.408282076528	1070.3170011039
"SRR1802228_SRR1800776"	2.78705767922943e-45	2.4247401809296e-43	479.981978519213	117.921252470685	0	0	164.550364490692	423.854995544766	1006.69140897464
"PATIENT_WTS_1_TUM1_PATIENT_WTS_1_BUC"	1.04975306786626e-43	9.13285169043647e-42	796.010067448116	0	277.329085897303	84.4770733964851	0	535.34206789969	1379.84170535841
"SRR1802754_SRR1802621"	5.29960095145497e-31	4.61065282776582e-29	870.67405330506	0	0	0	188.962191110039	404.001117046745	696.362638538156
"SRR1802711_SRR1802494"	8.33650789533441e-12	7.25276186894094e-10	667.098403440915	2846.03976736347	210.09458584966	60.8506310138455	232.341919978841	633.801110129987	737.77358222328
"SRR404098_SRR390690"	8.67805034864829e-07	7.54990380332402e-05	865.685836666142	682.333256209105	0	35.8172829731211	200.733754444019	529.624525754234	259.805343953378
"SRR1802637_SRR1802586"	1.48545953949462e-05	0.00129234979936032	709.780836934055	342.542015597035	0	0	301.697386911571	513.850032074722	225.129728482618
"SRR767556_SRR767524"	5.86282217945602e-05	0.00510065529612674	1058.69525592306	480.496109866245	0	39.203606424973	260.265575131766	393.213794792074	212.125657861879
"ACC55MPP6"	8.26192814670953e-05	0.00718787748763729	682.840877205712	0	58.2308785341845	0	50.2972870323648	117.147600271324	109.483356956415
"SRR390636_SRR390671"	0.000104234467812999	0.00906839869973093	997.245013528442	577.546336047381	311.621081840815	0	272.523011223942	480.441569915033	261.622987444387
"SRR1801954_SRR1800335"	0.000376371739165679	0.0327443413074141	900.293660746201	476.534353431421	0	0	353.416413669361	253.55674987984	182.198822273177
"SRR524677_SRR522999"	0.000400192597460066	0.0348167559790258	0	226.68933121527	77.285187212367	0	81.6703754531511	750.200983855591	120.15412226362
"SRR1803002_SRR1802357"	0.000577663433403697	0.0502567187061217	256.357019990523	270.741234482444	90.3645226924157	23.8200871708633	309.826347943066	950.190762248759	171.700025471929
"SRR767516_SRR767439"	0.00075877974123719	0.0660138374876355	1023.38066705259	1507.11887997305	0	32.2879937532996	263.770491530325	0	181.441967690739
"ACHSCc8"	0.000761626885935885	0.066261539076422	377.569788171918	0	0	10.5108863482004	0	90.3183845766486	64.6009409032326
"SRR523096_SRR523625"	0.00083067152509413	0.0722684226831893	812.355924993821	346.851073637695	0	62.0181526967738	862.624276979312	337.036950651452	174.113621040946
"SRR524115_SRR523913"	0.00139139320000177	0.121051208400154	480.323500338184	466.938843570324	113.410417718307	26.6651912605962	225.89540392901	532.214409843637	127.552233339942
"AP0394_AP0391"	0.00140672969333586	0.12238548332022	1028.03769085597	453.722011692941	146.90572593316	85.9045163852202	146.461733925062	346.678909326463	148.289411881184
"SRR390616_SRR390604"	0.00188480562915696	0.163978089736655	433.83785638513	441.961518965615	115.82981847334	46.6067165089546	153.191373446065	526.334001483487	131.238714737408
"SRR523710_SRR524517"	0.00207279308206202	0.180332998139395	655.822234218889	262.405152186249	96.4001816865299	40.0706447193125	549.664951105727	394.574866763349	138.061969319945
"SRR388383_SRR388326"	0.00240183649343383	0.208959774928743	656.488064971408	436.281683621567	0	50.1851214943366	224.041783148107	436.967311495021	121.036035269561
"ACMPP31"	0.0026393852362583	0.229626515554472	342.345883521415	44.5818098446818	0	10.248950118388	0	0	35.8233565155147
"AC63MPPc1"	0.00315818895524338	0.274762439106174	616.73596432906	0	90.0790234386187	0	45.5892079334984	0	65.5958042988232
"ACHSC19"	0.00408857137814506	0.35570570989862	384.703359171432	69.6332370197472	0	19.1576676372797	0	0	80.5057361715408
"SRR1482114_SRR1482098"	0.00535224144116235	0.465645005381124	0	425.245537687349	69.1994325738831	46.7162406907503	148.074793822762	604.141746567307	101.622248657948
"ACHSC7"	0.00592034012574858	0.515069590940126	285.418409719381	0	30.9227201297596	13.3817866750078	0	77.7770095104211	56.50007396543
"SRR1802086_SRR1800793"	0.00597393274819888	0.519732149093303	236.244390857423	102.523103786135	0	0	168.763112079736	665.487964590188	84.9814286865181
"SRR767423_SRR767580"	0.00677898814679116	0.589771968770831	1063.67193656383	0	90.4667354563971	25.9188949680587	222.035077100441	674.733058345809	123.174297565462
"SRR390572_SRR390546"	0.00678403881664174	0.590211377047831	376.228467146222	0	1664.13618294664	46.0469500846139	382.110135964994	387.356437367107	166.121826490421
"SRR1801385_SRR1800351"	0.00735591767699404	0.639964837898481	485.269129501836	235.893617828643	68.1328799736061	23.0983425498156	142.176794794427	547.836125557356	96.5931097943165
"SRR1802629_SRR1802255"	0.00956303081986157	0.831983681327956	875.670363874036	227.736068536705	92.3157088126958	32.9323456953658	168.948059900654	581.065881855386	111.331571325158
"SRR407619_SRR404097"	0.0107427475765096	0.934619039156339	330.284937597194	403.639477116951	0	0	174.846510419319	663.125192753262	102.103882113274
"SRR1802673_SRR1802764"	0.0121487724328084	1	759.140068139988	527.932132070821	0	33.4002021475236	141.699374472159	508.274865565827	105.55335760368
"SRR1801924_SRR1802263"	0.0125268164489557	1	1002.1309335474	0	110.211946371126	31.6337852451059	172.66127649299	642.644037762729	127.718020580653
"SRR1801780_SRR1800379"	0.0132983106713628	1	941.637722582391	0	272.08363105785	50.9964823343065	205.045526730392	651.948745891044	134.287891404016
"SRR522917_SRR523444"	0.0137611877597039	1	320.784082328428	408.914826208204	0	31.3960829229044	821.740106007165	493.653711856965	127.511190676334
